acc,val_acc,loss,val_loss
0.7345126867294312,0.8281938433647156,0.9031661152839661,0.8281938433647156
0.8504267334938049,0.8571035265922546,0.5039028525352478,0.8571035265922546
0.8727973699569702,0.884361207485199,0.42123427987098694,0.884361207485199
0.8810572624206543,0.8840858936309814,0.38002103567123413,0.8840858936309814
0.8931717872619629,0.895649790763855,0.34327834844589233,0.895649790763855
0.890418529510498,0.8813325762748718,0.3385595381259918,0.8813325762748718
0.8921393156051636,0.9072136282920837,0.3296426832675934,0.9072136282920837
0.8994355797767639,0.9006057381629944,0.3092696964740753,0.9006057381629944
0.8988848924636841,0.899779736995697,0.3071407377719879,0.899779736995697
0.9045292139053345,0.9014317393302917,0.29349634051322937,0.9014317393302917
0.9048733711242676,0.9041849970817566,0.28767186403274536,0.9041849970817566
0.9049421548843384,0.905010998249054,0.2828340530395508,0.905010998249054
0.9083150029182434,0.9174008965492249,0.27249768376350403,0.9174008965492249
0.9098981022834778,0.9102423191070557,0.26733794808387756,0.9102423191070557
0.9074201583862305,0.9182268977165222,0.2765651047229767,0.9182268977165222
0.9101734757423401,0.9157488942146301,0.2691085636615753,0.9157488942146301
0.9072136282920837,0.9124449491500854,0.2751656770706177,0.9124449491500854
0.9105176329612732,0.9135462641716003,0.2652243375778198,0.9135462641716003
0.9092786312103271,0.9193282127380371,0.26857247948646545,0.9193282127380371
0.9140968918800354,0.9256607890129089,0.2545446753501892,0.9256607890129089
